id,text,fact_expressions,query_expressions,answer_expressions,fact_spans,query_spans
11068,"已知双曲线$2 x^{2}-y^{2}=m$的焦点在$x$轴，且一个焦点是$(\sqrt{3}, 0)$，则$m$的值是?","G: Hyperbola;Expression(G) = (2*x^2 - y^2 = m);m: Number;PointOnCurve(Focus(G),xAxis) = True;Coordinate(OneOf(Focus(G))) = (sqrt(3),0)",m,2,"[[[2, 22]], [[2, 22]], [[54, 57]], [[2, 30]], [[2, 52]]]","[[[54, 61]]]"
11745,"抛物线$y^{2}=4 x$上一点$A$到点$B(3 , 2)$与焦点的距离之和最小，则点$A$的坐标为?","G: Parabola;B: Point;A: Point;Expression(G) = (y^2 = 4*x);Coordinate(B) = (3, 2);PointOnCurve(A, G);WhenMin(Distance(A, B) + Distance(A, Focus(G)))",Coordinate(A),"(1, 2)","[[[0, 14]], [[21, 32]], [[17, 20], [44, 48]], [[0, 14]], [[21, 32]], [[0, 20]], [[0, 42]]]","[[[44, 53]]]"
5540,设双曲线$\frac{x^{2}}{m}+\frac{y^{2}}{n}=1$的离心率为$2$，且一个焦点与抛物线$x^{2}=8 y$的焦点相同，则此双曲线的方程为?,G: Hyperbola;m: Number;n: Number;H: Parabola;Expression(G) = (y^2/n + x^2/m = 1);Expression(H) = (x^2 = 8*y);Eccentricity(G) = 2;OneOf(Focus(G))=Focus(H),Expression(G),y^2-x^2/3=1,"[[[1, 39], [76, 79]], [[4, 39]], [[4, 39]], [[54, 68]], [[1, 39]], [[54, 68]], [[1, 47]], [[1, 73]]]","[[[75, 84]]]"
5024,已知抛物线$C$: $y^{2}=8 x$的焦点为$F$，直线$l$过点$F$与$C$交于$A$、$B$两点，与$C$的准线交于点$P$，若$\overrightarrow{A P}=3 \overrightarrow{B P}$，则$l$的斜率为?,"C: Parabola;Expression(C) = (y^2 = 8*x);F: Point;Focus(C) = F;l: Line;PointOnCurve(F, l) ;Intersection(l, C) = {A, B};A: Point;B: Point;Intersection(l, Directrix(C)) = P;P: Point;VectorOf(A, P) = 3*VectorOf(B, P)",Slope(l),pm*sqrt(3),"[[[2, 21], [40, 43], [56, 59]], [[2, 21]], [[25, 28], [35, 39]], [[2, 28]], [[29, 34], [117, 120]], [[29, 39]], [[29, 54]], [[45, 48]], [[49, 52]], [[29, 68]], [[64, 68]], [[70, 115]]]","[[[117, 125]]]"
9533,"已知抛物线$y^{2}=2 p x(p>0)$上一点$M(1, m)$到其焦点$F$的距离为$5$，该抛物线的顶点到直线$M F$的距离为$d$，则$d$的值为?","G: Parabola;Expression(G) = (y^2 = 2*(p*x));p: Number;p>0;M: Point;m: Number;Coordinate(M) = (1, m);PointOnCurve(M, G);F: Point;Focus(G) = F;Distance(M, F) = 5;d: Number;Distance(Vertex(G), LineOf(M, F)) = d",d,16/5,"[[[2, 23], [36, 37], [51, 54]], [[2, 23]], [[5, 23]], [[5, 23]], [[26, 35]], [[26, 35]], [[26, 35]], [[2, 35]], [[39, 42]], [[36, 42]], [[26, 49]], [[69, 72], [74, 77]], [[51, 72]]]","[[[74, 81]]]"
11330,从抛物线$y^{2}=4 x$上一点$P$引其准线的垂线，垂足为$M$，设抛物线的焦点为$F$，且$P F=5$，则$\Delta{M P F}$的面积为?,"G: Parabola;P: Point;F: Point;M: Point;Expression(G) = (y^2 = 4*x);PointOnCurve(P,G);l1:Line;PointOnCurve(P,l1);IsPerpendicular(Directrix(G),l1);FootPoint(Directrix(G),l1)=M;Focus(G)=F;LineSegmentOf(P, F) = 5","Area(TriangleOf(M,P,F))",10,"[[[1, 15], [22, 23], [37, 40]], [[18, 21]], [[44, 47]], [[32, 35]], [[1, 15]], [[1, 21]], [], [[0, 28]], [[0, 28]], [[0, 35]], [[37, 47]], [[49, 56]]]","[[[58, 78]]]"
8198,过椭圆$\frac{x^{2}}{4}+\frac{y^{2}}{3}=1$的左焦点$F_{1}$作直线$l$交椭圆于$A$、$B$两点，则$\triangle A B F_{2}$(其中$F_{2}$为椭圆的右焦点) 的周长为?,"l: Line;G: Ellipse;A: Point;B: Point;F2: Point;F1: Point;Expression(G) = (x^2/4 + y^2/3 = 1);LeftFocus(G) = F1;RightFocus(G)=F2;PointOnCurve(F1, l);Intersection(l, G) = {A, B}","Perimeter(TriangleOf(A,B,F2))",8,"[[[50, 55]], [[1, 38], [56, 58], [102, 104]], [[59, 62]], [[63, 66]], [[94, 101]], [[42, 49]], [[1, 38]], [[1, 49]], [[94, 108]], [[0, 55]], [[50, 68]]]","[[[70, 115]]]"
3714,若抛物线$y^{2}=4 x$上的一点$M$到坐标原点$O$的距离为$\sqrt{5}$，则点$M$到该抛物线焦点的距离为?,"G: Parabola;M: Point;O: Origin;Expression(G) = (y^2 = 4*x);PointOnCurve(M, G);Distance(M, O) = sqrt(5)","Distance(M, Focus(G))",2,"[[[1, 15], [52, 55]], [[19, 22], [46, 50]], [[23, 30]], [[1, 15]], [[1, 22]], [[19, 44]]]","[[[46, 62]]]"
8339,"已知双曲线$C$: $\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$的焦点为$F_{1}$、$F_{2}$，离心率为$\frac{\sqrt{6}}{2}$，若$C$上一点$P$满足$|P F_{1}|-|PF_{2}|=2 \sqrt{6}$，则$C$的方程为?","C: Hyperbola;b: Number;a: Number;P: Point;F1: Point;F2: Point;a>0;b>0;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);Focus(C) = {F1, F2};Eccentricity(C) = sqrt(6)/2;PointOnCurve(P, C);Abs(LineSegmentOf(P, F1)) - Abs(LineSegmentOf(P, F2)) = 2*sqrt(6)",Expression(C),x^2/6 - y^2/3 = 1,"[[[2, 63], [109, 112], [153, 156]], [[10, 63]], [[10, 63]], [[115, 118]], [[67, 74]], [[75, 82]], [[10, 63]], [[10, 63]], [[2, 63]], [[2, 82]], [[2, 107]], [[109, 118]], [[120, 151]]]","[[[153, 161]]]"
13547,"椭圆$\frac{x^{2}}{36}+\frac{y^{2}}{16}=1$上一点$M$到左焦点$F_{1}$的距离为$2$ , $N$是线段$MF_{1}$的中点 （$O$为坐标原点），则$|ON|$=?","G: Ellipse;F1: Point;M: Point;O: Origin;N: Point;Expression(G) = (x^2/36 + y^2/16 = 1);PointOnCurve(M, G);LeftFocus(G) = F1;Distance(M, F1) = 2;MidPoint(LineSegmentOf(M, F1)) = N","Abs(LineSegmentOf(O, N))",5,"[[[0, 39]], [[49, 56]], [[42, 45]], [[85, 88]], [[66, 69]], [[0, 39]], [[0, 45]], [[0, 56]], [[42, 64]], [[66, 83]]]","[[[96, 104]]]"
9886,"抛物线$y^{2}=2 p x(p>0)$的焦点坐标为$(\frac{1}{8}, 0)$, 则$p$=?","G: Parabola;p: Number;p>0;Expression(G) = (y^2 = 2*p*x);Coordinate(Focus(G))=(1/8,0)",p,1/4,"[[[0, 21]], [[48, 51]], [[3, 21]], [[0, 21]], [[0, 45]]]","[[[48, 53]]]"
9047,已知椭圆$\frac{x^{2}}{t^{2}}+\frac{y^{2}}{5 t}=1$的焦距为$2 \sqrt{6}$，则实数$t$=?,G: Ellipse;Expression(G) = (x^2/t^2 + y^2/(5*t) = 1);t: Real;FocalLength(G) = 2*sqrt(6),t,"{2,3,6}","[[[2, 45]], [[2, 45]], [[63, 68]], [[2, 61]]]","[[[63, 70]]]"
12786,已知双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>b>0)$的离心率是$\frac{\sqrt{6}}{2}$，则椭圆$\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1$的离心率是?,G: Hyperbola;b: Number;a: Number;H: Ellipse;a > b;b > 0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);Expression(H) = (y^2/b^2 + x^2/a^2 = 1);Eccentricity(G) = sqrt(6)/2,Eccentricity(H),sqrt(2)/2,"[[[2, 55]], [[5, 55]], [[5, 55]], [[82, 127]], [[5, 55]], [[5, 55]], [[2, 55]], [[82, 127]], [[2, 80]]]","[[[82, 133]]]"
12266,已知$F_{1}$、$F_{2}$为椭圆$\frac{x^{2}}{25}+\frac{y^{2}}{9}=1$的两个焦点，过$F_{1}$的直线交椭圆于$A$、$B$两点。若$|F_{2} A|+|F_{2} B|=12$，则$|A B|$=?,"G: Ellipse;H: Line;F2: Point;A: Point;B: Point;F1: Point;Expression(G) = (x^2/25 + y^2/9 = 1);Focus(G) = {F1, F2};PointOnCurve(F1, H);Intersection(H, G) = {A, B};Abs(LineSegmentOf(F2, A)) + Abs(LineSegmentOf(F2, B)) = 12","Abs(LineSegmentOf(A, B))",8,"[[[18, 56], [74, 76]], [[71, 73]], [[10, 17]], [[77, 80]], [[81, 84]], [[2, 9], [63, 70]], [[18, 56]], [[2, 61]], [[62, 73]], [[71, 86]], [[88, 112]]]","[[[114, 123]]]"
1562,已知方程$\frac{x^{2}}{5-m}+\frac{y^{2}}{m+3}=1$表示椭圆，则$m$的取值范围为?,G: Ellipse;Expression(G)=(x^2/(5 - m) + y^2/(m + 3) = 1) ;m:Number,Range(m),"(-3,1)+(1,5)","[[[45, 47]], [[2, 47]], [[49, 52]]]","[[[49, 59]]]"
1404,"已知椭圆$\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0)$，点$F$为左焦点，点$P$为下顶点，平行于$F P$的直线$l$交椭圆于$A$、$B$两点，且$A$、$B$的中点为$M(1, \frac{1}{2})$，则椭圆的离心率为?","l: Line;G: Ellipse;a: Number;b: Number;F: Point;P: Point;M: Point;A: Point;B: Point;a > b;b > 0;Expression(G) = (y^2/b^2 + x^2/a^2 = 1);Coordinate(M) = (1, 1/2);LowerVertex(G)=P;LeftFocus(G) = F;IsParallel(LineSegmentOf(F, P),l);MidPoint(LineSegmentOf(A,B))=M;Intersection(l, G) = {A, B}",Eccentricity(G),sqrt(2)/2,"[[[82, 87]], [[2, 54], [88, 90], [134, 136]], [[4, 54]], [[4, 54]], [[55, 59]], [[64, 68]], [[113, 132]], [[91, 94], [102, 105]], [[95, 98], [106, 109]], [[4, 54]], [[4, 54]], [[2, 54]], [[113, 132]], [[2, 72]], [[2, 63]], [[73, 87]], [[102, 132]], [[82, 100]]]","[[[134, 142]]]"
12346,若双曲线$\frac{x^{2}}{4}-\frac{y^{2}}{b^{2}}=1(b>0)$的渐近线方程式为$y=\pm \frac{1}{2} x$，则$b$等于?,G: Hyperbola;Expression(G) = (x^2/4 - y^2/b^2 = 1);b: Number;b>0;Expression(Asymptote(G)) = (y = pm*1/2*x),b,1,"[[[1, 48]], [[1, 48]], [[79, 82]], [[4, 48]], [[1, 77]]]","[[[79, 85]]]"
6789,$P$为双曲线$x^{2}-\frac{y^{2}}{3}=1$右支上一点，$F_{1}$、$F_{2}$为左、右焦点，若$|P F_{1}|+|P F_{2}|=10$，则$\overrightarrow{P F_{1}} \cdot \overrightarrow{P F_{2}}$=?,"G: Hyperbola;P: Point;F1: Point;F2: Point;Expression(G) = (x^2 - y^2/3 = 1);PointOnCurve(P, RightPart(G));LeftFocus(G) = F1;RightFocus(G) = F2;Abs(LineSegmentOf(P, F1)) + Abs(LineSegmentOf(P, F2)) = 10","DotProduct(VectorOf(P, F1), VectorOf(P, F2))",18,"[[[4, 32]], [[0, 3]], [[38, 45]], [[46, 53]], [[4, 32]], [[0, 37]], [[4, 59]], [[4, 59]], [[61, 85]]]","[[[87, 146]]]"
8648,"已知双曲线$C$: $\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$的右焦点为$F$，左顶点为$A$，以$F$为圆心，$|F A|$为半径的圆交$C$的右支于$M$、$N$两点，且线段$A M$的垂直平分线经过点$N$，则$C$的离心率为?","C: Hyperbola;b: Number;a: Number;G: Circle;M: Point;A: Point;F: Point;N: Point;a>0;b>0;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);RightFocus(C) = F;LeftVertex(C)=A;Center(G)=F;Radius(G)=Abs(LineSegmentOf(F,A));Intersection(G,RightPart(C))={M, N};PointOnCurve(N,PerpendicularBisector(LineSegmentOf(A,M)))",Eccentricity(C),4/3,"[[[2, 63], [101, 104], [101, 104]], [[10, 63]], [[10, 63]], [[99, 100]], [[108, 111]], [[76, 79]], [[81, 84], [81, 84]], [[112, 115], [134, 138]], [[10, 63]], [[10, 63]], [[2, 63]], [[2, 71]], [[2, 79]], [[80, 100]], [[88, 100]], [[99, 117]], [[119, 138]]]","[[[140, 149]]]"
8642,已知双曲线$\frac{x^{2}}{m}-\frac{y^{2}}{n}=1$的渐近线方程为$5 x \pm 3 y=0$，则此双曲线的离心率为?,G: Hyperbola;Expression(G) = (-y^2/n + x^2/m = 1);m: Number;n: Number;Expression(Asymptote(G)) = (pm*3*y + 5*x = 0),Eccentricity(G),"{sqrt(34)/3, sqrt(34)/5}","[[[2, 40], [65, 68]], [[2, 40]], [[5, 40]], [[5, 40]], [[2, 62]]]","[[[65, 74]]]"
5026,"已知椭圆$C$: $\frac{x^{2}}{25}+\frac{y^{2}}{16}=1$ ,$F_{1}$ , $F_{2}$为$C$的左、右焦点，$P$是椭圆上的动点，则$\Delta F_{1} P F_{2}$内切圆半径的最大值为?","C: Ellipse;Expression(C) = (x^2/25 + y^2/16 = 1);F1: Point;F2: Point;LeftFocus(C) = F1;RightFocus(C) = F2;P: Point;PointOnCurve(P, C)","Max(Radius(InscribedCircle(TriangleOf(F1,P,F2))))",3/2,"[[[2, 46], [66, 69], [80, 82]], [[2, 46]], [[48, 56]], [[58, 65]], [[48, 75]], [[48, 75]], [[76, 79]], [[76, 86]]]","[[[88, 121]]]"
2728,"已知点$M(-1,2)$和抛物线$C$: $y^{2}=4 x$，过$C$的焦点且斜率为$k$的直线与$C$交于$A$、$B$两点，若$\angle A M B=90^{\circ}$，则$k$=?","M: Point;Coordinate(M) = (-1, 2);C: Parabola;Expression(C) = (y^2 = 4*x);G: Line;PointOnCurve(Focus(C), G);k: Number;Slope(G) = k;A: Point;B: Point;Intersection(G, C) = {A, B};AngleOf(A, M, B) = ApplyUnit(90, degree)",k,1,"[[[2, 12]], [[2, 12]], [[13, 32], [34, 37], [51, 54]], [[13, 32]], [[48, 50]], [[33, 50]], [[94, 97], [44, 47]], [[41, 50]], [[56, 59]], [[60, 63]], [[48, 65]], [[67, 92]]]","[[[94, 99]]]"
12896,"椭圆的离心率为$\frac{1}{2}$ , 一个焦点为$F(3 , 0)$对应准线为$x-1=0$，则这个椭圆方程是?","G: Ellipse;Eccentricity(G) = 1/2;F: Point;OneOf(Focus(G)) = F;Coordinate(F) = (3, 0);Expression(Directrix(G)) = (x-1 = 0)",Expression(G),3*x^2+4*y^2-22*x+35=0,"[[[0, 2], [54, 56]], [[0, 20]], [[28, 38]], [[0, 38]], [[28, 38]], [[0, 50]]]","[[[54, 60]]]"
9158,"已知两定点$A(0,-2)$, $B(0,2)$，点$P$在椭圆$\frac{x^{2}}{12}+\frac{y^{2}}{16}=1$上，且满足$|\overrightarrow{A P}|-|\overrightarrow{B P}|=2$，则$\overrightarrow{A P} \cdot \overrightarrow{B P}$=?","G: Ellipse;A: Point;B: Point;P: Point;Expression(G) = (x^2/12 + y^2/16 = 1);Coordinate(A) = (0,-2);Coordinate(B) = (0, 2);PointOnCurve(P, G);Abs(VectorOf(A, P)) - Abs(VectorOf(B, P)) = 2","DotProduct(VectorOf(A, P), VectorOf(B, P))",9,"[[[30, 69]], [[5, 14]], [[16, 24]], [[25, 29]], [[30, 69]], [[5, 14]], [[16, 24]], [[25, 70]], [[74, 123]]]","[[[125, 176]]]"
7514,"已知点$P(1,-2)$在直线$y=k x+2$上，则圆锥曲线$C$: $k x^{2}+3 y^{2}=1$的离心率为?","H: Line;k: Number;C:ConicSection;P: Point;Expression(H) = (y = k*x + 2);Expression(C) = (k*x^2 + 3*y^2 = 1);Coordinate(P) = (1, -2);PointOnCurve(P, H)",Eccentricity(C),sqrt(7)/2,"[[[13, 24]], [[36, 55]], [[27, 55]], [[2, 12]], [[13, 24]], [[27, 55]], [[2, 12]], [[2, 25]]]","[[[27, 61]]]"
13112,椭圆$\frac{x^{2}}{25}+\frac{y^{2}}{9}=1$上一点$P$到左准线的距离为$\frac{5}{2}$，则点$P$到左焦点的距离为?,"G: Ellipse;P: Point;Expression(G) = (x^2/25 + y^2/9 = 1);PointOnCurve(P, G);Distance(P, LeftDirectrix(G)) = 5/2","Distance(P,LeftFocus(G))",2,"[[[0, 38]], [[41, 44], [67, 71]], [[0, 38]], [[0, 44]], [[0, 65]]]","[[[0, 80]]]"
13625,"已知点$F$、$B$分别为双曲线$C$: $\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$的焦点和虚轴端点，若线段$F B$的中点在双曲线$C$上，则双曲线$C$的离心率是?","C: Hyperbola;b: Number;a: Number;F: Point;B: Point;a>0;b>0;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);OneOf(Focus(C))=F;OneOf(Endpoint(ImageinaryAxis(C)))=B;PointOnCurve(MidPoint(LineSegmentOf(F,B)), C)",Eccentricity(C),sqrt(5),"[[[13, 74], [95, 101], [104, 110]], [[20, 74]], [[20, 74]], [[2, 6]], [[7, 10]], [[20, 74]], [[20, 74]], [[13, 74]], [[2, 82]], [[2, 82]], [[84, 102]]]","[[[104, 116]]]"
10050,椭圆$\frac{x^{2}}{9}+\frac{y^{2}}{6}=1$右焦点为$F$，弦$A B$垂直长轴，当$\triangle A B F$的周长最大时，三角形外接圆面积为?,"G: Ellipse;A: Point;B: Point;F: Point;Expression(G) = (x^2/9 + y^2/6 = 1);RightFocus(G) = F;IsChordOf(LineSegmentOf(A, B), G);IsPerpendicular(LineSegmentOf(A, B), MajorAxis(G));WhenMax(Perimeter(TriangleOf(A, B, F)))","Area(CircumCircle(TriangleOf(A, B, F)))",16*pi/3,"[[[0, 37]], [[46, 51]], [[46, 51]], [[41, 44]], [[0, 37]], [[0, 44]], [[0, 51]], [[0, 55]], [[56, 80]]]","[[[57, 91]]]"
1692,直线$l$: $x+2 y-4=0$与椭圆$C$: $x^{2}+4 y^{2}=16$交于$A$、$B$两点，则弦长$|A B|$=?,"l: Line;C: Ellipse;A: Point;B: Point;Expression(C) = (x^2 + 4*y^2 = 16);Expression(l) = (x + 2*y - 4 = 0);Intersection(l, C) = {A, B};IsChordOf(LineSegmentOf(A, B), C)","Abs(LineSegmentOf(A, B))",2*sqrt(5),"[[[0, 18]], [[19, 44]], [[46, 49]], [[50, 53]], [[19, 44]], [[0, 18]], [[0, 55]], [[19, 66]]]","[[[59, 68]]]"
5311,"$F_{1}$、$F_{2}$分别为双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$的左、右焦点，过点$F_{2}$作此双曲线一条渐近线的垂线，垂足为$M$，满足$|\overrightarrow{M F_{1}}|=3|\overrightarrow{M F_{2}}|$，则此双曲线的渐近线方程为?","F1: Point;F2: Point;LeftFocus(G) = F1;RightFocus(G) = F2;G: Hyperbola;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a>0;b>0;Z: Line;PointOnCurve(F2, Z);IsPerpendicular(Z, OneOf(Asymptote(G)));M: Point;FootPoint(Z, OneOf(Asymptote(G))) = M;Abs(VectorOf(M, F1)) = 3*Abs(VectorOf(M, F2))",Expression(Asymptote(G)),y=pm*(sqrt(2)/2)*x,"[[[0, 7]], [[8, 15], [82, 90]], [[0, 80]], [[0, 80]], [[18, 74], [92, 95], [172, 175]], [[18, 74]], [[21, 74]], [[21, 74]], [[21, 74]], [[21, 74]], [], [[81, 103]], [[81, 103]], [[107, 110]], [[81, 110]], [[113, 169]]]","[[[172, 183]]]"
7076,双曲线$\frac{x^{2}}{144}-\frac{y^{2}}{b^{2}}=1$的两条渐近线互相垂直，那么它的离心率为?,"G: Hyperbola;b: Number;l1: Line;l2: Line;Expression(G) = (x^2/144 - y^2/b^2 = 1);Asymptote(G) = {l1, l2};IsPerpendicular(l1, l2)",Eccentricity(G),sqrt(2),"[[[0, 44], [57, 58]], [[3, 44]], [], [], [[0, 44]], [[0, 50]], [[0, 54]]]","[[[57, 64]]]"
7280,已知抛物线$y^{2}=4 x$的焦点为$F$，若点$A$、$B$是该抛物线上的点，$\angle A F B=\frac{\pi}{2}$，线段$A B$的中点$M$在抛物线的准线上的射影为$N$，则$\frac{|M N|}{|A B|}$的最大值为?,"G: Parabola;Expression(G) = (y^2 = 4*x);A: Point;B: Point;F: Point;Focus(G) = F;M: Point;N: Point;PointOnCurve(A, G);PointOnCurve(B, G);AngleOf(A, F, B) = pi/2;M = MidPoint(LineSegmentOf(A, B));Projection(M, Directrix(G)) = N","Max(Abs(LineSegmentOf(M, N))/Abs(LineSegmentOf(A, B)))",sqrt(2)/2,"[[[2, 16], [85, 88], [35, 38]], [[2, 16]], [[25, 29]], [[30, 33]], [[20, 23]], [[2, 23]], [[81, 84]], [[96, 99]], [[25, 41]], [[25, 41]], [[42, 70]], [[71, 84]], [[81, 99]]]","[[[101, 128]]]"
5487,"设双曲线的一个焦点为$F$，虚轴的一个端点为$B$, 如果直线$F B$与该双曲线的一条渐近线垂直，那么此双曲线的离心率为?","G: Hyperbola;B: Point;F: Point;OneOf(Focus(G)) = F;OneOf(Endpoint(ImageinaryAxis(G))) = B;IsPerpendicular(LineOf(F, B), OneOf(Asymptote(G)))",Eccentricity(G),(sqrt(5) + 1)/2,"[[[1, 4], [38, 41], [53, 56]], [[22, 25]], [[10, 13]], [[1, 13]], [[1, 25]], [[29, 49]]]","[[[53, 62]]]"
4987,"已知$F_{1}$、$F_{2}$是双曲线$\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$的左右焦点，过点$F_{2}$作双曲线的一条渐近线的垂线，垂足为点$A$，交另一条渐近线于点$B$，且$\overrightarrow{A F_{2}}=-\frac{1}{2} \overrightarrow{F_{2} B}$，则该双曲线的离心率为?","G: Hyperbola;b: Number;a: Number;A: Point;F2: Point;B: Point;F1: Point;l1: Line;l2: Line;a>0;b>0;L:Line;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);LeftFocus(G) = F1;RightFocus(G) = F2;OneOf(Asymptote(G))=l1;OneOf(Asymptote(G))=l2;Negation(l1=l2);PointOnCurve(F2,L);IsPerpendicular(L,l1);FootPoint(L,l1)=A;Intersection(L,l2)=B;VectorOf(A, F2) = -VectorOf(F2, B)/2",Eccentricity(G),2,"[[[18, 74], [90, 93], [192, 195]], [[21, 74]], [[21, 74]], [[106, 110]], [[10, 17], [81, 89]], [[119, 123]], [[2, 9]], [], [], [[21, 74]], [[21, 74]], [], [[18, 74]], [[2, 79]], [[2, 79]], [[90, 99]], [[90, 118]], [[90, 118]], [[80, 102]], [[80, 102]], [[80, 110]], [[80, 123]], [[125, 189]]]","[[[192, 201]]]"
2533,椭圆$\frac{x^{2}}{3}+\frac{y^{2}}{2}=1$的焦点坐标为?,G: Ellipse;Expression(G) = (x^2/3 + y^2/2 = 1),Coordinate(Focus(G)),"(pm*1,0)","[[[0, 37]], [[0, 37]]]","[[[0, 44]]]"
8822,已知双曲线$\frac{x^{2}}{25}-\frac{y^{2}}{9}=1$上一点$M$到左焦点$F_{1}$的距离为$18$，则点$M$到右焦点$F_{2}$的距离是?,"G: Hyperbola;M: Point;F1: Point;F2:Point;Expression(G) = (x^2/25 - y^2/9 = 1);PointOnCurve(M, G);LeftFocus(G) = F1;Distance(M, F1) = 18;RightFocus(G)=F2","Distance(M, F2)","{8,28}","[[[2, 41]], [[44, 47], [68, 72]], [[51, 58]], [[76, 83]], [[2, 41]], [[2, 47]], [[2, 58]], [[44, 66]], [[2, 83]]]","[[[68, 88]]]"
12874,设$0 \leq \alpha<2 \pi$，若方程$x^{2} \sin \alpha-y^{2} \cos \alpha=1$表示焦点在$y$轴上的椭圆，则$\alpha$的取值范围是?,"G: Ellipse;alpha:Number;0<=alpha;alpha<2*pi;Expression(G) = (x^2*Sin(alpha) - y^2*Cos(alpha) = 1);PointOnCurve(Focus(G), yAxis)",Range(alpha),"(pi/2,3*pi/4)+(3*pi/2,7*pi/4)","[[[76, 78]], [[80, 88]], [[1, 22]], [[1, 22]], [[24, 78]], [[67, 78]]]","[[[80, 95]]]"
13343,"点$P$是椭圆$\frac{x^{2}}{16}+\frac{y^{2}}{9}=1$上一点，$F_{1}$、$F_{2}$是其焦点，若$\angle F_{1} PF_{2}=90^{\circ}$ , $\Delta F_{1} PF_{2}$面积为?","G: Ellipse;F1: Point;P: Point;F2: Point;Expression(G) = (x^2/16 + y^2/9 = 1);PointOnCurve(P, G);Focus(G) = {F1,F2};AngleOf(F1,P,F2)=ApplyUnit(90,degree)","Area(TriangleOf(F1, P, F2))",9,"[[[5, 43], [63, 64]], [[47, 54]], [[0, 4]], [[55, 62]], [[5, 43]], [[0, 46]], [[47, 66]], [[68, 101]]]","[[[103, 128]]]"
6294,已知椭圆$x^{2}+k y^{2}=3 k(k>0)$的一个焦点与抛物线$x=\frac{1}{12} y^{2}$的焦点重合，则该椭圆的离心率是?,H: Ellipse;Expression(H) = (k*y^2 + x^2 = 3*k);k: Number;k>0;G: Parabola;Expression(G) = (x = y^2/12);OneOf(Focus(H)) = Focus(G),Eccentricity(H),sqrt(3)/2,"[[[2, 28], [67, 69]], [[2, 28]], [[4, 28]], [[4, 28]], [[34, 59]], [[34, 59]], [[2, 64]]]","[[[67, 75]]]"
3923,椭圆$\frac{x^{2}}{m}+\frac{y^{2}}{4}=1$的焦距为$2$，则$m$=?,G: Ellipse;m: Number;Expression(G) = (y^2/4 + x^2/m = 1);FocalLength(G) = 2,m,"{3,5}","[[[0, 37]], [[46, 49]], [[0, 37]], [[0, 44]]]","[[[46, 51]]]"
4331,若双曲线$C$上任意一点到两焦点的距离之差的绝对值为$6$，且$C$的虚轴长为$6 \sqrt{3}$，则$C$的离心率为?,"C: Hyperbola;P: Point;PointOnCurve(P, C);F1: Point;F2: Point;Focus(C) = {F1, F2};Abs(Distance(P, F1) - Distance(P, F2)) = 6;Length(ImageinaryAxis(C)) = 6*sqrt(3)",Eccentricity(C),2,"[[[1, 7], [31, 34], [53, 56]], [], [[1, 12]], [], [], [[1, 16]], [[1, 29]], [[31, 51]]]","[[[53, 62]]]"
7289,"抛物线$x^{2}=m y(m>0)$上的点$P$到抛物线的焦点$F$的距离和到点$M(0,7)$的距离都等于$5$，则抛物线的方程为?","G: Parabola;Expression(G) = (x^2 = m*y);m: Number;m>0;P: Point;PointOnCurve(P, G);F: Point;Focus(G) = F;M: Point;Coordinate(M) = (0, 7);Distance(P, F) = 5;Distance(P, M) = 5",Expression(G),x^2=4*y,"[[[0, 19], [26, 29], [60, 63]], [[0, 19]], [[3, 19]], [[3, 19]], [[21, 25]], [[0, 25]], [[32, 35]], [[26, 35]], [[40, 49]], [[40, 49]], [[21, 58]], [[21, 58]]]","[[[60, 68]]]"
4238,"已知椭圆$C$: $\frac{x^{2}}{4}+\frac{y^{2}}{m}=1(0<m<4)$的左右焦点分别为$F_{1}$、$F_{2}$，直线$l$过点$F_{2}$交椭圆$C$于$A$ , $B$两点. 则$\triangle A B F_{1}$的周长是?","C: Ellipse;Expression(C) = (x^2/4 + y^2/m = 1);m: Number;0 < m;m < 4;F1: Point;F2: Point;LeftFocus(C) = F1;RightFocus(C) = F2;l: Line;PointOnCurve(F2, l);A: Point;B: Point;Intersection(l, C) = {A, B}","Perimeter(TriangleOf(A, B, F1))",8,"[[[2, 51], [90, 95]], [[2, 51]], [[9, 51]], [[9, 51]], [[9, 51]], [[59, 66]], [[67, 74], [81, 89]], [[2, 74]], [[2, 74]], [[75, 80]], [[75, 89]], [[96, 99]], [[101, 105]], [[75, 107]]]","[[[110, 136]]]"
